Speech Event	all‰	ung‰	heit‰	keit‰	schaft‰	tät‰	ion‰	ieren‰
FOLK_E_00300_SE_01	2,59	1,42	0,00	0,26	0,13	0,00	0,39	0,39	
FOLK_E_00301_SE_01	4,39	3,32	0,00	0,11	0,00	0,00	0,11	0,86	
FOLK_E_00302_SE_01	10,30	10,30	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00303_SE_01	9,91	6,28	0,00	0,10	0,00	0,29	1,77	1,47	
FOLK_E_00304_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00305_SE_01	8,47	4,24	0,00	0,00	4,24	0,00	0,00	0,00	
FOLK_E_00308_SE_01	4,08	1,99	0,09	0,36	0,09	0,09	0,72	0,72	
FOLK_E_00309_SE_01	2,75	1,28	0,00	0,18	0,00	0,00	0,18	1,10	
FOLK_E_00313_SE_01	7,16	3,14	0,29	0,69	0,00	0,00	1,67	1,37	
FOLK_E_00318_SE_01	8,19	6,07	0,00	0,61	0,00	0,30	0,00	1,21	
FOLK_E_00319_SE_01	5,17	3,51	0,10	0,39	0,00	0,00	0,00	1,17	
FOLK_E_00321_SE_01	5,38	3,92	0,46	0,00	0,00	0,00	0,15	0,85	
FOLK_E_00322_SE_01	5,59	3,66	0,00	0,10	0,51	0,00	0,71	0,61	
FOLK_E_00323_SE_01	2,52	2,52	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00324_SE_01	2,67	0,00	0,00	0,00	0,00	0,00	0,00	2,67	
FOLK_E_00325_SE_01	4,92	3,09	0,03	0,13	0,98	0,07	0,29	0,33	
FOLK_E_00327_SE_01	4,09	2,36	0,00	0,00	0,00	0,00	0,16	1,57	
FOLK_E_00329_SE_01	2,98	1,49	0,04	0,13	0,00	0,00	0,60	0,72	
FOLK_E_00330_SE_01	11,80	5,15	1,25	1,37	1,04	0,04	1,87	1,08	
FOLK_E_00331_SE_01	2,88	2,18	0,09	0,09	0,00	0,00	0,09	0,44	
FOLK_E_00332_SE_01	3,95	1,69	0,00	0,56	0,00	0,00	1,69	0,00	
FOLK_E_00333_SE_01	3,69	1,94	0,19	0,19	0,19	0,00	0,39	0,78	
FOLK_E_00334_SE_01	2,67	2,23	0,00	0,00	0,00	0,00	0,00	0,45	
FOLK_E_00335_SE_01	5,63	2,62	0,78	1,75	0,00	0,00	0,39	0,10	
FOLK_E_00337_SE_01	16,15	8,86	0,83	0,52	2,29	0,10	2,50	1,04	
FOLK_E_00338_SE_01	18,04	9,38	2,50	0,42	1,25	0,52	2,19	1,77	
FOLK_E_00339_SE_01	7,08	4,21	0,51	0,28	0,51	0,17	0,62	0,79	
FOLK_E_00340_SE_01	5,44	2,62	0,14	0,14	0,05	0,05	0,38	2,05	
FOLK_E_00342_SE_01	3,57	2,41	0,00	0,00	0,00	0,10	0,58	0,48	
FOLK_E_00343_SE_01	11,34	8,75	0,00	0,40	0,00	0,00	1,59	0,60	
FOLK_E_00344_SE_01	6,43	4,68	0,35	0,00	0,23	0,12	0,47	0,58	
FOLK_E_00345_SE_01	1,61	0,00	0,00	0,00	0,00	0,00	0,00	1,61	
FOLK_E_00346_SE_01	6,33	3,42	0,17	0,30	0,17	0,00	1,39	0,89	
